date,chain,tracking_code,volume,volume_7dma,volume_30dma,fees,OI,dauu,tuu,version
2023-12-08,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-09,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-10,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-11,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-12,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-12,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-12,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-12,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-12,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-12,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-12,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-12,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-12,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
